id_number,firstname,middle_initial,last_name,course,year,email_address,contact_number
232,Andrea,J,Coppola,BSIS,4,AndreaJCoppola@fleckens.hu,(08) 8720 5427
239,Lorene,D,Monico,BSIS,4,LoreneDMonico@superrito.com,(02) 4920 8928
246,Mariana,J,Rogers,BSIT,3,MarianaJRogers@fleckens.hu,(02) 4019 0308
253,Andrew,J,Cyr,BSIS,1,AndrewJCyr@gustr.com,(07) 5619 7202
260,Miriam,J,Moore,BSIS,1,MiriamJMoore@dayrep.com,(07) 3871 1688
267,Charla,S,Ames,BSIT,2,CharlaSAmes@armyspy.com,(02) 4011 4576
274,Barbara,H,Camarillo,BSCS,1,BarbaraHCamarillo@teleworm.us,(03) 5360 2337
281,David,L,Smith,BSIT,1,DavidLSmith@teleworm.us,(07) 3363 2145
288,Mae,G,Cohen,BSCS,1,MaeGCohen@fleckens.hu,(08) 9034 0616
295,Margie,L,Burke,BSCS,2,MargieLBurke@einrot.com,(08) 8727 2157
302,Jamie,A,Norris,BSIS,2,JamieANorris@teleworm.us,(08) 8375 2972
309,Robert,B,Fager,BSIS,1,RobertBFager@rhyta.com,(07) 5383 7245
316,Frank,A,Inniss,BSCS,3,FrankAInniss@superrito.com,(07) 4599 2426
323,Lawrence,J,Tremblay,BSIT,1,LawrenceJTremblay@einrot.com,(03) 5372 5792
330,Angelita,W,Brewster,BSCS,2,AngelitaWBrewster@dayrep.com,(08) 9484 3554
337,Shirley,A,Hinton,BSIS,3,ShirleyAHinton@armyspy.com,(03) 6211 0089
344,Cinthia,W,Knutson,BSIT,2,CinthiaWKnutson@superrito.com,(03) 5300 0287
351,Donald,A,Meads,BSCS,3,DonaldAMeads@superrito.com,(08) 8304 4686
358,Lorraine,R,McIntosh,BSCS,2,LorraineRMcIntosh@fleckens.hu,(07) 4543 0912
365,Connie,N,Marshall,BSCS,1,ConnieNMarshall@armyspy.com,(08) 8783 0853
372,Elizabeth,J,Wilson,BSIT,2,ElizabethJWilson@fleckens.hu,(07) 5397 8210
379,Nikki,J,Wilcox,BSCS,2,NikkiJWilcox@rhyta.com,(07) 4581 1931
386,David,B,Smith,BSIT,4,DavidBSmith@superrito.com,(02) 4775 8989
393,Charles,G,Lamb,BSIT,1,CharlesGLamb@superrito.com,(07) 4019 4389
400,Carolyn,R,Bryan,BSIT,4,CarolynRBryan@armyspy.com,(07) 4582 2207
407,James,J,Bishop,BSCS,1,JamesJBishop@gustr.com,(02) 6747 5310
414,Debra,A,Anstett,BSIS,3,DebraAAnstett@armyspy.com,(07) 4086 3417
421,Michael,J,Baylis,BSIS,4,MichaelJBaylis@cuvox.de,(07) 4515 1581
428,Doris,P,Marine,BSIT,1,DorisPMarine@einrot.com,(02) 6731 3051
435,Gloria,S,Johnston,BSIT,2,GloriaSJohnston@teleworm.us,(03) 9238 2472
442,Susan,L,Jacobs,BSIS,1,SusanLJacobs@armyspy.com,(02) 6183 0271
449,Trevor,B,Stone,BSIT,2,TrevorBStone@gustr.com,(03) 9661 2827
456,Kyle,S,Smith,BSIS,3,KyleSSmith@einrot.com,(07) 4933 9249
463,Kenneth,V,Richard,BSIS,1,KennethVRichard@cuvox.de,(07) 5359 2907
470,Jonathan,J,Sanders,BSIS,4,JonathanJSanders@fleckens.hu,(07) 4929 9090
477,Elizabeth,D,Wallace,BSIS,1,ElizabethDWallace@teleworm.us,(02) 4078 5233
484,Lois,D,Johnson,BSCS,4,LoisDJohnson@armyspy.com,(03) 5390 6795
491,Omar,L,Strother,BSIT,3,OmarLStrother@gustr.com,(08) 8718 3591
498,Joseph,A,Simpson,BSIS,4,JosephASimpson@armyspy.com,(03) 5339 4966
505,Jorge,C,Powers,BSIS,3,JorgeCPowers@einrot.com,(02) 4935 1535
512,Steve,P,Manning,BSIS,4,StevePManning@rhyta.com,(07) 4503 5688
519,Trey,S,Mason,BSIT,3,TreySMason@superrito.com,(08) 9066 7556
526,Anthony,S,Hackworth,BSCS,4,AnthonySHackworth@teleworm.us,(07) 5650 4833
533,Barbara,G,Lewis,BSIS,3,BarbaraGLewis@cuvox.de,(08) 8208 4384
540,Albert,V,Bell,BSCS,3,AlbertVBell@dayrep.com,(03) 5347 1447
547,Tammy,J,Coleman,BSIS,4,TammyJColeman@einrot.com,(02) 4050 3738
554,Charles,M,Reno,BSCS,1,CharlesMReno@armyspy.com,(02) 6782 9380
561,William,K,Lang,BSIT,4,WilliamKLang@armyspy.com,(08) 9072 8162
568,Raul,L,Dawkins,BSIT,1,RaulLDawkins@einrot.com,(02) 6192 7433
575,Terrell,P,Lang,BSCS,1,TerrellPLang@cuvox.de,(03) 8055 7215
582,Tracy,R,Martinez,BSIT,1,TracyRMartinez@dayrep.com,(03) 5308 2727
589,Marisol,T,Reimer,BSCS,4,MarisolTReimer@cuvox.de,(08) 8326 1765
596,Thomas,A,Broussard,BSIS,1,ThomasABroussard@cuvox.de,(02) 6799 7580
603,Dirk,R,Hatton,BSIS,3,DirkRHatton@fleckens.hu,(02) 6118 6498
610,Luke,F,Parsons,BSIS,1,LukeFParsons@armyspy.com,(08) 8398 2954
617,Janis,J,Miller,BSCS,2,JanisJMiller@dayrep.com,(03) 5360 6291
624,Arturo,T,Hollister,BSCS,3,ArturoTHollister@dayrep.com,(02) 6191 3225
631,Thomas,M,Flower,BSIS,3,ThomasMFlower@dayrep.com,(08) 8740 5678
638,Billy,N,Davis,BSIT,4,BillyNDavis@superrito.com,(03) 5398 9347
645,Betty,B,Roach,BSIS,1,BettyBRoach@rhyta.com,(07) 4537 9960
652,Mildred,C,Littlejohn,BSIS,2,MildredCLittlejohn@superrito.com,(03) 5316 6026
659,Lorraine,T,Shults,BSCS,2,LorraineTShults@dayrep.com,(03) 9511 1277
666,James,A,Garren,BSIT,1,JamesAGarren@jourrapide.com,(07) 3254 2414
673,Tara,D,Johnson,BSIS,3,TaraDJohnson@superrito.com,(07) 5300 2182
680,Laura,M,Spencer,BSIS,2,LauraMSpencer@superrito.com,(02) 4019 5225
687,Jeffery,G,Flatt,BSCS,3,JefferyGFlatt@fleckens.hu,(03) 9199 8065
694,Kamilah,J,Stith,BSIT,1,KamilahJStith@dayrep.com,(07) 3304 4198
701,Daniel,H,Meadows,BSIS,2,DanielHMeadows@gustr.com,(07) 4006 4471
708,Loretta,R,Baran,BSIS,2,LorettaRBaran@rhyta.com,(03) 6270 7915
715,Eva,R,Ha,BSCS,1,EvaRHa@fleckens.hu,(03) 9772 7633
722,Thomas,N,White,BSIT,3,ThomasNWhite@dayrep.com,(02) 4941 3644
729,Levi,K,Solomon,BSIT,3,LeviKSolomon@armyspy.com,(07) 4928 1222
736,Marissa,J,Leiter,BSIT,4,MarissaJLeiter@jourrapide.com,(07) 4533 6805
743,Katherine,R,McMillan,BSIS,2,KatherineRMcMillan@teleworm.us,(02) 6111 4891
750,Leah,D,Flynn,BSCS,2,LeahDFlynn@dayrep.com,(03) 6293 6206
757,Stephanie,D,Drummond,BSIS,2,StephanieDDrummond@jourrapide.com,(08) 8223 8930
764,Nancy,M,Conyers,BSIS,4,NancyMConyers@einrot.com,(02) 6767 5361
771,James,D,Neal,BSIT,1,JamesDNeal@fleckens.hu,(03) 9654 5508
778,Ralph,D,Ortega,BSCS,3,RalphDOrtega@teleworm.us,(08) 8387 4108
785,Gloria,B,Curry,BSIS,4,GloriaBCurry@gustr.com,(02) 9922 5407
792,Margot,J,Knapp,BSCS,1,MargotJKnapp@teleworm.us,(07) 4523 3989
799,Carol,M,Kuhn,BSCS,4,CarolMKuhn@jourrapide.com,(08) 8309 4689
806,Jarrod,A,Hunt,BSCS,4,JarrodAHunt@cuvox.de,(03) 8922 7317
813,Ana,R,Hall,BSCS,1,AnaRHall@superrito.com,(03) 5345 3558
820,Marcos,G,Metzinger,BSCS,4,MarcosGMetzinger@rhyta.com,(02) 4277 9004
827,Anthony,D,Conger,BSIT,3,AnthonyDConger@gustr.com,(02) 4902 1994
834,James,A,Dierks,BSIS,2,JamesADierks@superrito.com,(08) 9028 6532
841,Grace,C,Williams,BSIT,2,GraceCWilliams@armyspy.com,(03) 9599 3907
848,Carol,C,Patterson,BSIS,2,CarolCPatterson@rhyta.com,(02) 4048 7098
855,Micheal,L,Smith,BSCS,3,MichealLSmith@jourrapide.com,(07) 4962 7535
862,Katherine,L,McGinnis,BSIS,4,KatherineLMcGinnis@rhyta.com,(08) 9001 8423
869,Fred,L,Gordon,BSIS,3,FredLGordon@dayrep.com,(02) 6720 4374
876,Emily,S,Johnson,BSIT,2,EmilySJohnson@einrot.com,(03) 5371 3144
883,Jerry,K,Hansen,BSIT,4,JerryKHansen@teleworm.us,(02) 4078 5898
890,Michael,V,Cuevas,BSIS,2,MichaelVCuevas@superrito.com,(07) 4077 7394
897,Pauline,R,Ryan,BSIS,2,PaulineRRyan@armyspy.com,(03) 6200 2863
904,Karen,P,McCollom,BSIS,2,KarenPMcCollom@fleckens.hu,(08) 8325 4502
911,Albertha,S,Green,BSCS,4,AlberthaSGreen@rhyta.com,(03) 8649 1674
918,Jane,F,Heck,BSCS,3,JaneFHeck@fleckens.hu,(03) 6223 0171
925,Andrew,S,Murphy,BSIS,2,AndrewSMurphy@teleworm.us,(08) 8740 2528
932,Dianna,J,Dawson,BSIT,1,DiannaJDawson@gustr.com,(08) 9485 1912
939,Santo,A,Pearson,BSIS,2,SantoAPearson@dayrep.com,(03) 9814 8442
946,Joyce,J,Dykes,BSCS,3,JoyceJDykes@cuvox.de,(02) 6182 4490
953,John,A,Schreiner,BSIT,2,JohnASchreiner@dayrep.com,(03) 9295 8905
960,Shana,D,Scott,BSIT,3,ShanaDScott@cuvox.de,(02) 6707 5806
967,Lyda,B,Keller,BSIS,3,LydaBKeller@dayrep.com,(03) 5391 1383
974,Sarah,J,Sanders,BSIT,1,SarahJSanders@armyspy.com,(02) 4015 5396
981,William,S,Turner,BSCS,4,WilliamSTurner@superrito.com,(02) 4783 1382
988,Melissa,A,Scharff,BSIT,1,MelissaAScharff@superrito.com,(08) 8240 6087
995,Nydia,G,Harmon,BSIT,4,NydiaGHarmon@rhyta.com,(08) 8386 0711
1002,Emile,J,Presley,BSIT,2,EmileJPresley@armyspy.com,(02) 4085 6866
1009,Rosetta,D,Runnels,BSIT,2,RosettaDRunnels@gustr.com,(03) 6285 1660
1016,Justin,D,Walker,BSIS,4,JustinDWalker@jourrapide.com,(02) 6643 1539
1023,Essie,S,Downs,BSIT,2,EssieSDowns@cuvox.de,(03) 5361 2913
1030,Audrey,R,Garcia,BSCS,4,AudreyRGarcia@fleckens.hu,(08) 8344 1683
1037,Timothy,K,Whitson,BSIS,4,TimothyKWhitson@gustr.com,(02) 6775 3788
1044,Josette,J,Hibbard,BSIT,3,JosetteJHibbard@jourrapide.com,(02) 6111 0076
1051,Linda,B,Servin,BSIS,1,LindaBServin@fleckens.hu,(07) 4960 9941
1058,Nathan,S,Lane,BSIT,4,NathanSLane@jourrapide.com,(02) 6243 6203
1065,William,L,Boyd,BSIT,3,WilliamLBoyd@jourrapide.com,(08) 8382 2330
1072,Cherie,A,Lima,BSIS,2,CherieALima@rhyta.com,(03) 5301 1063
1079,Robert,B,Martin,BSCS,2,RobertBMartin@einrot.com,(02) 4024 4093
1086,Eric,B,Herzog,BSCS,1,EricBHerzog@gustr.com,(03) 6295 3138
1093,Wynona,A,Nixon,BSCS,4,WynonaANixon@einrot.com,(07) 4902 2549
1100,Gabriela,G,Riggs,BSIT,4,GabrielaGRiggs@gustr.com,(08) 8729 8636
1107,Cynthia,M,Sanchez,BSCS,4,CynthiaMSanchez@gustr.com,(03) 9673 4270
1114,Walter,V,Gilbert,BSIT,3,WalterVGilbert@cuvox.de,(08) 9034 6722
1121,John,J,Simeone,BSIS,3,JohnJSimeone@armyspy.com,(02) 4983 5289
1128,Horace,K,Martin,BSIS,1,HoraceKMartin@fleckens.hu,(07) 4094 5827
1135,Trula,K,Connolly,BSCS,3,TrulaKConnolly@cuvox.de,(03) 5331 5070
1142,Ann,M,Appell,BSIT,1,AnnMAppell@jourrapide.com,(07) 4567 1961
1149,Cynthia,C,Willis,BSIT,1,CynthiaCWillis@dayrep.com,(03) 5385 9383
1156,Jennifer,J,Garrett,BSCS,4,JenniferJGarrett@cuvox.de,(07) 4503 5217
1163,Fred,D,Hogan,BSIT,4,FredDHogan@gustr.com,(07) 4064 0490
1170,Michelle,T,Ferrell,BSIS,2,MichelleTFerrell@fleckens.hu,(02) 4033 8415
1177,Alma,L,Gomez,BSCS,2,AlmaLGomez@fleckens.hu,(02) 9979 5295
1184,Daniel,J,Rowland,BSIT,3,DanielJRowland@gustr.com,(08) 9036 9292
1191,Kristi,R,Nichols,BSCS,3,KristiRNichols@einrot.com,(02) 4908 3308
1198,Ruth,M,Lemmon,BSCS,4,RuthMLemmon@fleckens.hu,(02) 4081 5733
1205,Kim,R,Long,BSIT,4,KimRLong@cuvox.de,(07) 4063 8241
1212,Lorraine,J,Martin,BSIS,2,LorraineJMartin@rhyta.com,(02) 9274 4118
1219,Christopher,Y,Nicholson,BSIS,1,ChristopherYNicholson@superrito.com,(02) 4033 4339
1226,Tina,C,Goodman,BSIS,1,TinaCGoodman@jourrapide.com,(02) 4696 0209
1233,Timothy,R,Love,BSIT,2,TimothyRLove@gustr.com,(02) 6795 7244
1240,Gilbert,A,Martin,BSCS,4,GilbertAMartin@dayrep.com,(08) 8998 2005
1247,Amber,D,Caldwell,BSIS,2,AmberDCaldwell@rhyta.com,(03) 5397 0831
1254,Eric,T,Trimm,BSCS,4,EricTTrimm@gustr.com,(03) 5338 8863
1261,John,E,Lambert,BSIS,1,JohnELambert@dayrep.com,(03) 6282 7882
1268,James,E,Fairchild,BSCS,2,JamesEFairchild@jourrapide.com,(08) 9376 7130
1275,Richard,L,Hall,BSIT,1,RichardLHall@dayrep.com,(03) 9653 1755
1282,Shirley,L,Hunter,BSIS,2,ShirleyLHunter@gustr.com,(02) 9892 7103
1289,Michael,D,Todd,BSIS,3,MichaelDTodd@armyspy.com,(08) 8202 5433
1296,Ernest,M,Orosco,BSCS,2,ErnestMOrosco@teleworm.us,(03) 9032 5325
1303,Angela,J,Peterson,BSIS,3,AngelaJPeterson@fleckens.hu,(03) 5388 9754
1310,Josephine,J,Dunn,BSIS,2,JosephineJDunn@teleworm.us,(08) 9002 7394
1317,Maybell,J,Rhoads,BSIS,3,MaybellJRhoads@rhyta.com,(03) 5369 8275
1324,Kristie,K,Larson,BSIS,1,KristieKLarson@armyspy.com,(02) 4912 9666
1331,Thomas,C,Jones,BSIT,3,ThomasCJones@einrot.com,(03) 5324 9213
1338,Richard,I,Schoonover,BSCS,4,RichardISchoonover@rhyta.com,(07) 4049 7564
1345,Rubie,M,Wester,BSCS,2,RubieMWester@einrot.com,(07) 4594 1817
1352,Samantha,W,Baker,BSCS,1,SamanthaWBaker@fleckens.hu,(03) 8206 5178
1359,Paulette,A,Mercado,BSIT,4,PauletteAMercado@teleworm.us,(02) 6141 2105
1366,James,T,Lauver,BSCS,3,JamesTLauver@fleckens.hu,(02) 6776 9767
1373,Bette,L,Murray,BSCS,1,BetteLMurray@dayrep.com,(03) 5310 5885
1380,Bonnie,P,Swain,BSIS,4,BonniePSwain@armyspy.com,(03) 6296 1592
1387,Alicia,V,Hebron,BSIT,2,AliciaVHebron@fleckens.hu,(02) 4058 6107
1394,Bernadette,L,Cunningham,BSCS,3,BernadetteLCunningham@gustr.com,(07) 5380 8347
